family,response,cbeta,cenpack,env,hs_pair,pair,rg,rsigma,sheet,ss_pair,vdw,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,dslf_fa13,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,yhh_planarity,pack,ss_mis,one_core_each,two_core_each,ss_contributes_core,n_charged,netcharge,total_score_per_res,contact_all_per_res,contact_buried_core_boundary_per_res,contact_buried_core_per_res,degree_per_res,degree_core_per_res,degree_core_boundary_per_res,exposed_hydrophobics_per_res,exposed_total_per_res,exposed_polars_per_res,polar_over_hydrophobic,buried_np_per_res,buried_np_AFILMVWY_per_res,buried_over_exposed,buried_over_exposed_AFILMVWY
P450,1.0,0.36360057649667404,-0.11800738359201769,-0.33411108647450116,0.06111906873614191,-0.15326707317073174,0.14697802660753886,-0.09911487804878046,0.05404787139689574,-0.12347711751662974,0.004010443458980047,-6.336845033259423,1.3665886252771617,-1.996578359201774,0.010439667405764963,0.23076866962305995,0.6712427050997782,3.825980376940133,-0.21063339246119736,-0.11573423503325944,-0.15370767184035478,-0.5905842350332594,0.0,-0.16571926829268294,0.03242172949002217,-0.1923523725055432,0.18514405764966746,0.030184656319290473,0.17497339246119734,0.0006231263858093123,0.0012701108647450114,0.0009713747228381375,0.001719778270509977,0.00104410199556541,0.0021055432372505552,0.3048780487804877,0.014412416851441236,-3.2337871618625287,4.409356984478936,4.297090817053117,2.580609042202423,0.024948824833702875,0.11628439423733627,0.05829276432714459,23.422706031042125,43.44917862527717,20.02647270509978,0.8553128919941717,1130.394947958241,1275.9363428453141,6.23919127867537,7.042503964481204
P450,1.0,0.3622378270509977,-0.1214806651884701,-0.3406465853658536,0.05971068736141905,-0.21076490022172947,0.14685600886917954,-0.10274651884700665,0.05741898004434585,-0.13079543237250557,0.0064460975609756084,-6.238789423503323,1.3086631042128603,-1.9842272062084265,0.01015776053215077,0.2154889800443459,0.6540962971175165,3.797056784922396,-0.2072427937915743,-0.11294064301552105,-0.14375986696230603,-0.5902117073170732,0.0,-0.1638110643015521,0.03254370288248336,-0.21331736141906887,0.25075481152993345,-0.016268026607538802,0.19736363636363655,0.000538669623059867,0.0012435476718403546,0.0009334146341463415,0.001767538802660753,0.0010759423503325935,0.0020807982261640805,0.3048780487804877,0.014412416851441236,-3.2039040798226157,4.227937915742793,4.13941254556973,2.577419303958733,0.025025986696230594,0.11560086243000335,0.05755699174485125,24.233479578713965,43.17541645232817,18.941936940133033,0.7818426558752098,1104.6105829813175,1247.6559747379104,6.021769084966817,6.801579029845271
P450,1.0,0.36736086474501106,-0.11996006651884708,-0.34074747228381375,0.05625197339246121,-0.18808106430155194,0.14672623059866965,-0.10303261640798227,0.05320126385809314,-0.1237377383592018,0.0053929933481153,-6.274779556541022,1.3066696230598673,-1.982485875831485,0.010230221729490022,0.22094518847006647,0.6556070288248337,3.814156274944566,-0.19873931263858097,-0.11260011086474499,-0.14975911308203993,-0.5934127937915745,0.0,-0.1607551662971175,0.02820458980044346,-0.20751818181818193,0.22689751662971183,0.018282128603104207,0.20854323725055451,0.000647050997782705,0.0012651441241685142,0.0009398669623059864,0.0017670288248337015,0.0010762971175166298,0.0020888913525498893,0.3048780487804877,0.014412416851441236,-3.189866895787141,4.266031042128604,4.205242771471683,2.6617167071824968,0.02496789356984479,0.11457645567549739,0.05776081494818186,24.115829955654092,43.37329858093126,19.2574689135255,0.7986652242650866,1086.6433412284086,1227.8320301040837,6.03995697938399,6.824734812578722
P450,1.0,0.36277532150776054,-0.1144758536585366,-0.33159177383592014,0.06788259423503325,-0.20393955654102,0.1472979157427938,-0.10185421286031046,0.060163082039911275,-0.12714669623059868,0.007179334811529932,-6.255265986696229,1.3094120399113087,-2.000580177383593,0.010131086474501108,0.22037995565410187,0.6604647893569843,3.7665436807095354,-0.2120969401330377,-0.11098862527716187,-0.14726325942350332,-0.5971835033259424,0.0,-0.16700348115299335,0.0236240798226164,-0.21219325942350334,0.30436161862527733,0.0019364301552106437,0.1822195121951218,0.0006896452328159647,0.001268580931263858,0.000932860310421286,0.0017700886917960082,0.001082616407982262,0.0020855210643015523,0.3048780487804877,0.014412416851441236,-3.222813192904658,4.24290465631929,4.141384312985162,2.545175834954412,0.024910110864745004,0.11527980299376787,0.05829060758737937,24.162169844789354,43.411127982261625,19.248958137472286,0.7968392527012037,1118.1212100527084,1264.099185296454,6.033623312563603,6.821351965443708
P450,1.0,0.3640320888888888,-0.1283283777777778,-0.34298366666666674,0.05892211111111111,-0.20818379999999997,0.14729811111111105,-0.10385055555555552,0.058777177777777787,-0.12786675555555552,0.005755999999999999,-6.2304685777777795,1.3327449555555555,-2.003115844444445,0.010192333333333333,0.21960813333333323,0.6473138666666669,3.8180230444444447,-0.2000829777777778,-0.10938182222222222,-0.15782326666666668,-0.5921092222222223,0.0,-0.1592981111111111,0.026338511111111105,-0.20855733333333326,0.2355967111111111,0.020855200000000004,0.17874666666666678,0.0006419555555555554,0.001246688888888889,0.0009281333333333338,0.0017689333333333326,0.0010817333333333328,0.0021051555555555565,0.3055555555555562,0.014444444444444466,-3.1707772444444435,4.201444444444445,4.159155120643866,2.608013030734249,0.024988755555555554,0.11451450326267619,0.05812430477983769,24.524400244444454,43.81904226666668,19.294641911111118,0.7869084267864175,1099.3505272613788,1241.2264403322365,5.968316163587394,6.738553029997885
P450,0.0,0.3625926,-0.1562013111111111,-0.33588171111111115,0.05871893333333333,-0.19487688888888888,0.14723564444444442,-0.1008549333333333,0.05591382222222224,-0.12846959999999996,0.004312999999999998,-6.197185000000002,1.2905591555555553,-1.979915688888888,0.009980688888888888,0.2125175777777778,0.6503968222222223,3.7369436444444433,-0.19878126666666668,-0.11505702222222226,-0.15157631111111097,-0.5909097333333331,0.0,-0.15823902222222216,0.019177044444444447,-0.2040992222222222,0.2351544222222222,-0.022627266666666666,0.19741555555555515,0.00041264444444444434,0.0012341111111111112,0.0009372888888888885,0.0017215111111111106,0.0010034888888888881,0.0021082444444444452,0.3055555555555562,0.014444444444444466,-3.2658318000000004,4.25111111111111,4.031610264538548,2.471598455214144,0.025034355555555565,0.11599221486798134,0.05791595524386636,24.42966575555556,43.30661617777776,18.876950222222227,0.7728698020944487,1123.3387517722458,1268.1891576885037,5.977196425079371,6.747933949310614
P450,0.0,0.3616581111111109,-0.15166337777777777,-0.3425823333333333,0.056386733333333335,-0.19859991111111103,0.1471283111111111,-0.10128882222222224,0.05674035555555557,-0.1266096444444445,0.004770822222222222,-6.206583777777773,1.2965960444444442,-1.9738936222222219,0.010069466666666664,0.21550106666666669,0.6509867999999999,3.7213276666666646,-0.20428084444444444,-0.11646464444444443,-0.1544488,-0.5928134888888885,0.0,-0.15560193333333328,0.020226466666666658,-0.20110551111111122,0.2316067555555556,-0.010913111111111106,0.20470000000000005,0.0005104222222222225,0.0012471777777777783,0.0009308666666666668,0.0017476222222222227,0.001033622222222222,0.0021090888888888894,0.3055555555555562,0.014444444444444466,-3.2645809111111106,4.230755555555556,4.062283468568965,2.5262137462808174,0.025033733333333336,0.1150698754103772,0.057984591935963545,24.281371066666676,43.24129773333333,18.959926511111107,0.7809729043439121,1095.554739432776,1237.8554283139413,5.995613363529416,6.774378569124793
P450,1.0,0.36465687361419064,-0.12377441241685144,-0.3312880487804877,0.06399953436807096,-0.18671767184035482,0.14710523281596458,-0.09914059866962308,0.05644421286031039,-0.12510647450110862,0.0051502660753880245,-6.268920753880265,1.315360820399113,-1.9777305099778266,0.010173880266075392,0.21688064301552093,0.6573563414634144,3.79399997782705,-0.21082101995565408,-0.11617476718403547,-0.13749159645232825,-0.5924851219512197,0.0,-0.16874749445676276,0.029005698447893566,-0.20784718403547672,0.24435915742793796,0.03226146341463416,0.18488691796008885,0.0006855432372505543,0.0012733037694013308,0.0009464523281596448,0.0017072062084257202,0.0010668736141906875,0.0020726607538802655,0.3048780487804877,0.014412416851441236,-3.195248536585365,4.249866962305986,4.168791521539009,2.50860393406653,0.02495110864745011,0.11305840076986988,0.058370554116875493,23.7859588691796,43.44107764966741,19.655118824833703,0.8264317476888239,1108.9236479252304,1253.6099463241783,6.118050989503036,6.91630085345301
P450,1.0,0.36305356984478926,-0.13213807095343677,-0.33891849223946785,0.0640440133037694,-0.1717490687361419,0.14726645232815966,-0.10030432372505546,0.05634079822616403,-0.12565853658536585,0.004336385809312638,-6.256703392461196,1.334810133037694,-2.0039420842572055,0.010228314855875829,0.2204033037694013,0.6657998447893568,3.795070731707317,-0.1953779379157427,-0.11354545454545453,-0.1497684922394678,-0.5923608869179602,0.0,-0.16596177383592015,0.025310864745011093,-0.2082036585365854,0.24808093126385822,-0.0020142350332594235,0.15459645232816,0.00046434589800443466,0.00125,0.0009547228381374724,0.0017867627494456766,0.001011441241685144,0.0021011529933481154,0.3048780487804877,0.014412416851441236,-3.2331122616407977,4.3159423503325955,4.173605343465073,2.4558889567474993,0.024896008869179607,0.11711236180478168,0.05844558228211333,24.223091529933495,43.35634164079822,19.13325015521065,0.7900387712380931,1114.2184138160912,1259.3535276506977,6.034053273980677,6.820032932855533
P450,1.0,0.3639413555555556,-0.13706557777777773,-0.37059719999999996,0.05586237777777778,-0.20308208888888885,0.1474190666666667,-0.10069662222222223,0.05264708888888891,-0.12706755555555557,0.00514471111111111,-6.224422355555554,1.3306970666666664,-2.033998911111112,0.009986577777777776,0.22232657777777767,0.6553582222222224,3.831829333333333,-0.2017446888888889,-0.11435668888888888,-0.15643839999999995,-0.5908478888888888,0.0,-0.16309588888888893,0.020688177777777775,-0.20856660000000005,0.24976262222222217,-0.027088822222222225,0.11223555555555546,0.0004562666666666667,0.0012311111111111112,0.0009374666666666663,0.0017160222222222226,0.0009889777777777776,0.002116711111111111,0.3055555555555562,0.014444444444444466,-3.287219155555556,4.221466666666666,4.111035187729976,2.439656831028243,0.024967733333333332,0.11656680513148811,0.05796392193228026,23.64906655555556,43.2815882888889,19.63252186666666,0.8303964766570207,1137.2261848658354,1285.706496036773,6.123735992326829,6.923272828331561
